Timestamp,CPU_Usage,Memory_Usage,Network_IO,Language
1741724532.221537,27.66061366806137,0.3442159602592445,10.50021743774414,golang
1741724534.237202,26.119738651994496,0.34143521966857543,10.259700775146484,golang
1741724536.249536,25.819095966620303,0.3416338439964804,10.270246505737305,golang
1741724538.269325,26.513540802213004,0.3372641087825719,10.242191314697266,golang
1741724540.2843788,27.87853727144866,0.3462022035382938,9.825475692749023,golang
1741724542.300638,27.098511821974963,0.3476918859975807,10.913721084594727,golang
1741724544.323542,27.557371349095966,0.3386544790779064,11.310943603515625,golang
1741724546.341324,26.897746870653688,0.3415345318325279,10.6212158203125,golang
1741724548.354987,26.637668539325844,0.3416338439964804,10.65803337097168,golang
1741724550.367469,26.132998624484184,0.33925035206162124,10.638792037963867,golang
1741724552.3824792,26.857034965034966,0.354147176654491,10.759790420532227,golang
1741724554.411975,27.035999999999998,0.34222971698019516,10.032756805419922,golang
1741724556.42865,27.30856545961003,0.34381871160343463,10.354427337646484,golang
1741724558.4485939,27.91062849162011,0.341335907504623,9.206607818603516,golang
1741724560.480753,10.082857142857144,0.32494940045246623,3.7472572326660156,golang
