Timestamp,CPU_Usage,Memory_Usage,Network_IO,Language
1741727754.1350331,30.589212707182323,0.21749363905589886,9.69300651550293,golang
1741727756.148858,31.349462068965515,0.21779157554775624,9.682090759277344,golang
1741727758.163004,31.64599443671766,0.2236509932209517,9.527050018310547,golang
1741727760.173564,31.09599721059972,0.21739432689194638,9.262845993041992,golang
1741727762.203081,31.321890756302523,0.22057231613842523,9.358217239379883,golang
1741727764.2244549,32.05170596393898,0.22573654866395346,9.276727676391602,golang
1741727766.2413151,32.1711048951049,0.22295580807328444,9.649528503417969,golang
1741727768.25725,31.92531380753138,0.21957919449890062,9.923532485961914,golang
1741727770.2710102,31.281298342541437,0.21630189308846928,10.066177368164062,golang
1741727772.287232,31.725506241331487,0.22762347977905031,9.891895294189453,golang
1741727774.3123279,32.74263448275862,0.22742485545114538,9.722238540649414,golang
1741727776.3271449,32.21551246537396,0.22603448515581084,9.09837532043457,golang
1741727778.339957,32.5374791086351,0.22682898246743055,9.663471221923828,golang
1741727780.355148,30.37503526093089,0.22196268643375977,9.829730987548828,golang
1741727782.390684,11.379768041237114,0.21342184033384778,3.702484130859375,golang
