Timestamp,CPU_Usage,Memory_Usage,Network_IO,Language
1741724418.34021,38.029410150891636,0.5536653140349936,9.06673812866211,golang
1741724420.352347,37.59025885558583,0.5584322979047119,8.345003128051758,golang
1741724422.370311,38.0344049247606,0.5472100233780833,9.208272933959961,golang
1741724424.402661,38.585258152173914,0.5525728802315165,8.526130676269531,golang
1741724426.416509,40.06962110960758,0.5492955788210852,8.128049850463867,golang
1741724428.4387891,36.942886740331495,0.5590281708884267,8.539468765258789,golang
1741724430.4527712,37.74416897506925,0.5702504454150553,8.097455978393555,golang
1741724432.469464,38.501343490304706,0.5538639383628986,9.146848678588867,golang
1741724434.4888792,37.97979480164159,0.5595247317081891,8.786813735961914,golang
1741724436.524022,36.51389574759945,0.5554529329861381,7.847133636474609,golang
1741724438.541562,37.20520435967302,0.5547577478384708,8.123376846313477,golang
1741724440.5562198,39.30281207133059,0.5372788069828369,8.51095962524414,golang
1741724442.572066,38.429006896551726,0.5554529329861381,8.587066650390625,golang
1741724444.61236,39.54008196721311,0.5549563721663757,8.092090606689453,golang
1741724446.6543732,13.335044699872286,0.5471107112141309,3.5782814025878906,golang
