Timestamp,CPU_Usage,Memory_Usage,Network_IO,Language
1741727947.1406028,30.235403556771544,0.22305512023723692,9.93185806274414,golang
1741727949.156485,29.31127777777778,0.22593517299185842,9.967750549316406,golang
1741727951.170167,29.290912863070538,0.2364622623708197,10.355537414550781,golang
1741727953.185633,29.372510460251043,0.22672967030347813,10.30694580078125,golang
1741727955.199094,30.8487237026648,0.22752416761509783,10.60604476928711,golang
1741727957.228418,30.10953716690042,0.22315443240118935,8.466741561889648,golang
1741727959.268228,28.60767955801105,0.22762347977905031,9.932413101196289,golang
1741727961.307002,28.65055172413793,0.22782210410695522,9.926862716674805,golang
1741727963.327734,29.83798611111111,0.23000697171390946,9.186811447143555,golang
1741727965.3424058,29.482534818941502,0.22682898246743055,9.483942031860352,golang
1741727967.359266,30.03802213001383,0.227126918959288,9.543516159057617,golang
1741727969.374857,29.777731092436976,0.22931178656624218,9.507875442504883,golang
1741727971.3925729,30.808671328671327,0.2244454905325714,10.18643569946289,golang
1741727973.404842,30.31260445682451,0.22464411486047636,9.17793083190918,golang
1741727975.43617,10.182884864165588,0.21342184033384778,3.1770477294921875,golang
